year,division,schools,athletes,recruit_total_sum,recruit_median,recruit_per_athlete_median,aid_per_athlete_median,recruit_share_of_year
2014,2-Year (JUCO),349,42280,5117635,7061.0,72.11764705882354,2535.99,0.020887100894100653
2014,NCAA D1 (FBS),358,123931,138552065,40365.5,148.9270114942529,8993.688234465018,0.5654860029566375
2014,NCAA D1 (FCS),122,52772,40492990,274571.5,729.4739029958008,11997.385151319664,0.16526797390470574
2014,NCAA D1 (No Football),97,30109,25148174,228807.0,726.2610294117648,13200.714285714286,0.1026396856439349
2014,NCAA D2,717,248262,34838222,39201.0,119.38972162740899,0.0,0.1421886199162459
2014,Other,80,8947,865051,4000.0,38.98571428571428,995.2333333333333,0.0035306166843752365
2018,2-Year (JUCO),352,45539,4955647,7094.5,71.45553719008265,2753.273857614053,0.015524236084651871
2018,NCAA D1 (FBS),347,128206,196344745,45728.0,138.70434782608694,10753.0625,0.6150765329654776
2018,NCAA D1 (FCS),126,55376,46272258,300661.5,778.8600713494229,13602.85554954955,0.14495412150258508
2018,NCAA D1 (No Football),96,30164,28666760,254179.5,789.9457547169811,15861.89327212621,0.08980251216885603
2018,NCAA D2,716,264099,42152437,49868.5,136.28728473572642,0.0,0.1320482236792521
2018,Other,84,8289,828176,5020.5,57.8078947368421,799.6163793103449,0.0025943735991773922
2024,2-Year (JUCO),335,50482,5297820,7941.0,59.59349593495935,2896.9484536082473,0.012129312007886327
2024,NCAA D1 (FBS),325,142996,297677892,58173.0,150.77916666666667,13360.537777777778,0.6815308994865603
2024,NCAA D1 (FCS),133,65322,56952230,308749.0,689.6937669376694,14999.299019607843,0.1303916265963932
2024,NCAA D1 (No Football),98,34193,32931238,286321.0,785.7414760194114,16745.40031242092,0.07539577798187981
2024,NCAA D2,682,286097,41991679,49374.5,118.33769147005444,0.0,0.09613957747262233
2024,Other,76,10226,1927418,6559.5,64.71182451515722,898.936170212766,0.0044128064546580005
